Plaintext,Ciphertext
0x0000,0xe2ea
0x0001,0x8982
0x0002,0xee72
0x0003,0xe282
0x0004,0xe28a
0x0005,0xeaaa
0x0006,0x82e2
0x0007,0x898a
0x0008,0x8e7a
0x0009,0x8eaa
0x000a,0x89ea
0x000b,0xea7a
0x000c,0xea72
0x000d,0xeaa2
0x000e,0x8a72
0x000f,0x8282
0x0010,0xef2b
0x0011,0x8d0f
0x0012,0xee4f
0x0013,0xef0f
0x0014,0xeefe
0x0015,0xee7e
0x0016,0x8f2f
0x0017,0x8afe
0x0018,0x8eac
0x0019,0x8ecb
0x001a,0xeebc
0x001b,0xea4b
0x001c,0xeaae
0x001d,0xeacf
0x001e,0xea7c
0x001f,0x8ebe
0x0020,0x5e20
0x0021,0xdeb2
0x0022,0xd23a
0x0023,0x9eba
0x0024,0xdaba
0x0025,0xd29a
0x0026,0xfe26
0x0027,0xdef2
0x0028,0xd250
0x0029,0xd210
0x002a,0xfa20
0x002b,0x9950
0x002c,0xd992
0x002d,0x999a
0x002e,0xd956
0x002f,0xfe06
0x0030,0xfe00
0x0031,0x9aba
0x0032,0xde3a
0x0033,0xdefa
0x0034,0xdeba
0x0035,0xde9a
0x0036,0x5a20
0x0037,0xdab2
0x0038,0xde50
0x0039,0xde10
0x003a,0xfe20
0x003b,0x9a50
0x003c,0xda92
0x003d,0x9a9a
0x003e,0xda56
0x003f,0xfa26
0x0040,0x6090
0x0041,0x9c2a
0x0042,0xd70a
0x0043,0x905a
0x0044,0xd45a
0x0045,0xd72a
0x0046,0x7cb0
0x0047,0xd62a
0x0048,0x37b0
0x0049,0x37f0
0x004a,0x4490
0x004b,0x47f9
0x004c,0xf52a
0x004d,0xf50a
0x004e,0x47b9
0x004f,0x36b0
0x0050,0x6060
0x0051,0x9fe9
0x0052,0x8e30
0x0053,0x9f70
0x0054,0x906a
0x0055,0x800a
0x0056,0x6c69
0x0057,0x9c4a
0x0058,0x00f0
0x0059,0x2c10
0x005a,0x6070
0x005b,0x2009
0x005c,0x1c0a
0x005d,0x1f30
0x005e,0x20f9
0x005f,0x7ce0
0x0060,0x4030
0x0061,0xdc0a
0x0062,0xd00a
0x0063,0xd01a
0x0064,0xd05a
0x0065,0xd02a
0x0066,0x3cf0
0x0067,0xdc2a
0x0068,0x30b0
0x0069,0x30f0
0x006a,0x4090
0x006b,0x40f9
0x006c,0xfc2a
0x006d,0xfc0a
0x006e,0x40b9
0x006f,0x3cb0
0x0070,0x6e68
0x0071,0xdf43
0x0072,0x8e08
0x0073,0x9f48
0x0074,0x9eea
0x0075,0x8e3a
0x0076,0x4e63
0x0077,0xdee2
0x0078,0x8e10
0x0079,0x2f18
0x007a,0x5e40
0x007b,0xad58
0x007c,0xea9a
0x007d,0xea28
0x007e,0xea50
0x007f,0xfe46
0x0080,0x87da
0x0081,0xe542
0x0082,0xe742
0x0083,0xe762
0x0084,0xe1da
0x0085,0xe1ca
0x0086,0x85ca
0x0087,0xe8ca
0x0088,0x874a
0x0089,0x87ca
0x008a,0x876a
0x008b,0x15ca
0x008c,0xc8ca
0x008d,0xc542
0x008e,0x154a
0x008f,0x854a
0x0090,0xe76a
0x0091,0xe5c2
0x0092,0xe042
0x0093,0xe7d2
0x0094,0xe7da
0x0095,0xe4ca
0x0096,0xe54a
0x0097,0xe5ca
0x0098,0x804a
0x0099,0x80ca
0x009a,0x816a
0x009b,0x1cca
0x009c,0xc6ca
0x009d,0xcc42
0x009e,0x1c4a
0x009f,0x884a
0x00a0,0x4ed8
0x00a1,0x9d48
0x00a2,0xdec8
0x00a3,0xdfc8
0x00a4,0xde8a
0x00a5,0xdeaa
0x00a6,0x6a68
0x00a7,0x9aea
0x00a8,0xded0
0x00a9,0x4fd8
0x00aa,0xfec0
0x00ab,0x6d68
0x00ac,0x9a7a
0x00ad,0x9a48
0x00ae,0x9a60
0x00af,0x5a40
0x00b0,0x828a
0x00b1,0xe982
0x00b2,0xe272
0x00b3,0xe2e2
0x00b4,0xe98a
0x00b5,0xe9aa
0x00b6,0xe9ea
0x00b7,0xe9e2
0x00b8,0x827a
0x00b9,0x82aa
0x00ba,0x82ea
0x00bb,0xe97a
0x00bc,0xe972
0x00bd,0xe9a2
0x00be,0x8972
0x00bf,0x89e2
0x00c0,0x40d0
0x00c1,0xdf89
0x00c2,0xdea0
0x00c3,0xdfa0
0x00c4,0xd0da
0x00c5,0xd0ca
0x00c6,0x4cd9
0x00c7,0xdcca
0x00c8,0x3080
0x00c9,0x4cd0
0x00ca,0x40a0
0x00cb,0x40c9
0x00cc,0xfcca
0x00cd,0xffa0
0x00ce,0x4089
0x00cf,0x3c80
0x00d0,0x8f0b
0x00d1,0xed0f
0x00d2,0xee2f
0x00d3,0xef2f
0x00d4,0xeebe
0x00d5,0xee9e
0x00d6,0xed2b
0x00d7,0xeafe
0x00d8,0x8e3c
0x00d9,0x8e0b
0x00da,0x8efc
0x00db,0xea2b
0x00dc,0xea3e
0x00dd,0xea0f
0x00de,0xea9c
0x00df,0xeabc
0x00e0,0xef95
0x00e1,0xeffd
0x00e2,0xee71
0x00e3,0xef31
0x00e4,0xe01e
0x00e5,0xe04e
0x00e6,0xefb7
0x00e7,0xec0e
0x00e8,0x80cc
0x00e9,0x8ea5
0x00ea,0xe05c
0x00eb,0x1fa5
0x00ec,0xcc4e
0x00ed,0xcf71
0x00ee,0x1ccc
0x00ef,0xec2c
0x00f0,0x8f35
0x00f1,0xefbd
0x00f2,0xee91
0x00f3,0xef91
0x00f4,0xe05e
0x00f5,0xe02e
0x00f6,0x8ff7
0x00f7,0xec2e
0x00f8,0x800c
0x00f9,0x8e35
0x00fa,0x801c
0x00fb,0x1f35
0x00fc,0xcc2e
0x00fd,0xcf91
0x00fe,0x1c0c
0x00ff,0x8c0c
0x0100,0x8e8a
0x0101,0xea82
0x0102,0xee82
0x0103,0xeee2
0x0104,0xea8a
0x0105,0xee8a
0x0106,0xeaea
0x0107,0xeae2
0x0108,0x8aea
0x0109,0xeeea
0x010a,0x8eea
0x010b,0x8ee2
0x010c,0x8a8a
0x010d,0x8a82
0x010e,0x8e82
0x010f,0x8ae2
0x0110,0x8fcb
0x0111,0xedcf
0x0112,0xefcf
0x0113,0xef4f
0x0114,0xeeee
0x0115,0xee8e
0x0116,0xed4b
0x0117,0xea8e
0x0118,0xeeec
0x0119,0xef4b
0x011a,0x8e8c
0x011b,0x8f4f
0x011c,0x8a8e
0x011d,0x8dcf
0x011e,0x8eee
0x011f,0xeaec
0x0120,0xf200
0x0121,0x99ba
0x0122,0x92ba
0x0123,0xd2fa
0x0124,0xd2ba
0x0125,0xd9ba
0x0126,0x5920
0x0127,0xd9b2
0x0128,0xf920
0x0129,0x5220
0x012a,0xf220
0x012b,0xf226
0x012c,0xd2f2
0x012d,0xd2b2
0x012e,0xf206
0x012f,0xf926
0x0130,0x4708
0x0131,0x79ba
0x0132,0x323a
0x0133,0x32fa
0x0134,0x32ba
0x0135,0x329a
0x0136,0x6128
0x0137,0x39b2
0x0138,0x3758
0x0139,0x3718
0x013a,0x4728
0x013b,0x7158
0x013c,0x3992
0x013d,0x799a
0x013e,0x3153
0x013f,0x4123
0x0140,0x4730
0x0141,0xd50a
0x0142,0x975a
0x0143,0xd71a
0x0144,0xd75a
0x0145,0xd15a
0x0146,0x35f0
0x0147,0xd52a
0x0148,0x4190
0x0149,0x6790
0x014a,0x4790
0x014b,0x75b0
0x014c,0xd82a
0x014d,0x952a
0x014e,0x38b0
0x014f,0x35b0
0x0150,0x2010
0x0151,0x8ff9
0x0152,0xef90
0x0153,0x8f30
0x0154,0x801a
0x0155,0xe05a
0x0156,0x2c19
0x0157,0x8c0a
0x0158,0xa090
0x0159,0xa050
0x015a,0x2030
0x015b,0xac59
0x015c,0xec2a
0x015d,0xefb9
0x015e,0xbcb0
0x015f,0x0cf0
0x0160,0xf700
0x0161,0xd53a
0x0162,0xd73a
0x0163,0xd7fa
0x0164,0xd7ba
0x0165,0xd79a
0x0166,0xd510
0x0167,0xd59a
0x0168,0xd750
0x0169,0xd710
0x016a,0xf720
0x016b,0xf719
0x016c,0xf59a
0x016d,0xf53a
0x016e,0xf759
0x016f,0xd550
0x0170,0x2e18
0x0171,0xed28
0x0172,0xef28
0x0173,0x8f08
0x0174,0x8efa
0x0175,0xeeba
0x0176,0xaa58
0x0177,0xeaba
0x0178,0xce20
0x0179,0xae58
0x017a,0x1e00
0x017b,0x2e53
0x017c,0x8eb2
0x017d,0x8f23
0x017e,0x1e26
0x017f,0xca20
0x0180,0x808a
0x0181,0xec72
