Plaintext1,Plaintext2,Ciphertext1,Ciphertext2
0x0000,0x0007,0x4ce1,0x2cff
0x0001,0x0006,0x3cf3,0x22f0
0x0002,0x0005,0x3111,0x31d1
0x0003,0x0004,0x3311,0x33d1
0x0008,0x000f,0x4af0,0x22e0
0x0009,0x000e,0x48e1,0x26e0
0x000a,0x000d,0x40f0,0x38f3
0x000b,0x000c,0x26f0,0x28ff
0x0010,0x0017,0x48c5,0xecf8
0x0011,0x0016,0x38b9,0x26b2
0x0012,0x0015,0x3115,0xf1dd
0x0013,0x0014,0x3155,0xf3dd
0x0018,0x001f,0xdafc,0xe2ec
0x0019,0x001e,0x48e5,0xe6ec
0x001a,0x001d,0xd0fc,0x38f9
0x001b,0x001c,0x26f2,0xe8f8
0x0020,0x0027,0xee30,0xeb8b
0x0021,0x0026,0xfb89,0xee82
0x0022,0x0025,0xfd33,0xed3f
0x0023,0x0024,0xfb33,0xeb3f
0x0028,0x002f,0xe520,0xeea2
0x0029,0x002e,0xe530,0xce20
0x002a,0x002d,0xee20,0xbb33
0x002b,0x002c,0xce30,0xcb3f
0x0030,0x0037,0xddc6,0xeb38
0x0031,0x0036,0xfdb7,0xe5b4
0x0032,0x0035,0x3a55,0xf0dd
0x0033,0x0034,0xf756,0xff4d
0x0038,0x003f,0xd3fc,0xee2c
0x0039,0x003e,0x46c5,0xd2da
0x003a,0x003d,0xd93c,0x3659
0x003b,0x003c,0x4659,0xe218
0x0040,0x0047,0x3bfa,0xabbe
0x0041,0x0046,0x8bb7,0x3bb7
0x0042,0x0045,0x8bba,0xabb8
0x0043,0x0044,0x8dba,0xadb8
0x0048,0x004f,0x2df8,0x2bbe
0x0049,0x004e,0x3dfa,0xabf8
0x004a,0x004d,0x2bf8,0x8df7
0x004b,0x004c,0x8bfa,0xadfe
0x0050,0x0057,0x3db7,0xac8b
0x0051,0x0056,0x3bba,0x3bf7
0x0052,0x0055,0x3dba,0xac8f
0x0053,0x0054,0x8dfa,0xa88f
0x0058,0x005f,0x283f,0x2c8b
0x0059,0x005e,0x3df7,0xac3f
0x005a,0x005d,0x2c3f,0x8db7
0x005b,0x005c,0x8bf7,0xa83b
0x0060,0x0067,0x25b2,0xecbb
0x0061,0x0066,0x3bf9,0x2ef2
0x0062,0x0065,0xf509,0xee1f
0x0063,0x0064,0x3db9,0xecff
0x0068,0x006f,0xded3,0xe2c2
0x0069,0x006e,0xd509,0xde79
0x006a,0x006d,0xe2e0,0xfe69
0x006b,0x006c,0xde69,0xee5b
0x0070,0x0077,0xe582,0xebbb
0x0071,0x0076,0xfb39,0xee32
0x0072,0x0075,0xfd39,0xedff
0x0073,0x0074,0xfd89,0xebff
0x0078,0x007f,0xe5e0,0xeec2
0x0079,0x007e,0xe532,0xcee0
0x007a,0x007d,0xeee0,0xbb39
0x007b,0x007c,0xce32,0xcbff
0x0080,0x0087,0x3b3a,0xab8e
0x0081,0x0086,0x8b87,0x3b87
0x0082,0x0085,0x855a,0xa558
0x0083,0x0084,0x8d8a,0xad88
0x0088,0x008f,0x2e18,0x2b8e
0x0089,0x008e,0x3e1a,0x2e5e
0x008a,0x008d,0x2b38,0x8e57
0x008b,0x008c,0x3e57,0xae5e
0x0090,0x0097,0xdbed,0xebf8
0x0091,0x0096,0xfbfa,0xeefc
0x0092,0x0095,0x3011,0x30d1
0x0093,0x0094,0xff1d,0xffdd
0x0098,0x009f,0x43f0,0xeeec
0x0099,0x009e,0x42e1,0x42d3
0x009a,0x009d,0xd9fc,0x3213
0x009b,0x009c,0x4213,0x221f
0x00a0,0x00a7,0xf36d,0xc888
0x00a1,0x00a6,0xb88a,0xfc3a
0x00a2,0x00a5,0x8a0d,0x8a9d
0x00a3,0x00a4,0xb10d,0xb19d
0x00a8,0x00af,0x304d,0xec38
0x00a9,0x00ae,0x306d,0x2268
0x00aa,0x00ad,0xf34d,0x860a
0x00ab,0x00ac,0x326a,0xa608
0x00b0,0x00b7,0x336d,0xa888
0x00b1,0x00b6,0x888a,0x3c3a
0x00b2,0x00b5,0x830d,0x839d
0x00b3,0x00b4,0x810d,0x819d
0x00b8,0x00bf,0x314d,0x2c38
0x00b9,0x00be,0x316d,0x2838
0x00ba,0x00bd,0x334d,0x8c8a
0x00bb,0x00bc,0x383a,0xac88
0x00c0,0x00c7,0x3106,0xa8b8
0x00c1,0x00c6,0x883a,0x3887
0x00c2,0x00c5,0x310d,0x837d
0x00c3,0x00c4,0x816d,0x817d
0x00c8,0x00cf,0x31dd,0x2cf8
0x00c9,0x00ce,0x3166,0x28f8
0x00ca,0x00cd,0x33dd,0x388a
0x00cb,0x00cc,0x3837,0xacb8
0x00d0,0x00d7,0xf106,0xc88f
0x00d1,0x00d6,0xb83a,0xf887
0x00d2,0x00d5,0x8a6d,0x8a7d
0x00d3,0x00d4,0xb16d,0xb191
0x00d8,0x00df,0x30dd,0xec3f
0x00d9,0x00de,0x3a06,0x2218
0x00da,0x00dd,0xf341,0x866a
0x00db,0x00dc,0x3607,0xa658
0x00e0,0x00e7,0x3d87,0xab8b
0x00e1,0x00e6,0x3b8a,0x3b37
0x00e2,0x00e5,0x851a,0xa60f
0x00e3,0x00e4,0x8d3a,0xad8f
0x00e8,0x00ef,0x226f,0x2b8b
0x00e9,0x00ee,0x3557,0x220b
0x00ea,0x00ed,0x2b3f,0x3e5a
0x00eb,0x00ec,0x3e17,0xa20b
0x00f0,0x00f7,0x2ef0,0x2bbb
0x00f1,0x00f6,0x3bb9,0x2eb2
0x00f2,0x00f5,0xfe63,0xee6f
0x00f3,0x00f4,0x3bf3,0x2bff
0x00f8,0x00ff,0xde43,0x2ec2
0x00f9,0x00fe,0xde63,0xde99
0x00fa,0x00fd,0x2ee0,0xfe09
0x00fb,0x00fc,0xde09,0xee0b
0x0100,0x0107,0xabce,0x29fa
0x0101,0x0106,0x2be8,0xadc8
0x0102,0x0105,0xabe8,0xa9fa
0x0103,0x0104,0x2bce,0x29b7
0x0108,0x010f,0xa4f7,0xa4ba
0x0109,0x010e,0xadee,0xa9ba
0x010a,0x010d,0xa9b7,0x2de8
0x010b,0x010c,0xabc8,0x24fa
0x0110,0x0117,0x2bc8,0x2033
0x0111,0x0116,0x2dce,0xade8
0x0112,0x0115,0xabee,0xa033
0x0113,0x0114,0x2bee,0x2089
0x0118,0x011f,0xaa39,0xaa83
0x0119,0x011e,0xadce,0xa083
0x011a,0x011d,0xa089,0x2dee
